               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097805,            0.023923,            0.018107,             0.70475,             0.19785,             0.21146,            0.052298,            0.074222,            0.015303,           0.0091909,           0.0033254,           0.0033254,            0.070072
                   1,            0.078843,            0.019933,           0.0091556,             0.58432,             0.40447,             0.41319,             0.11295,             0.06855,            0.013355,           0.0062048,           0.0066423,           0.0066423,            0.040055
                   2,            0.074185,            0.019099,           0.0077799,             0.48027,             0.38342,             0.35479,            0.094695,            0.068005,            0.013948,           0.0060766,           0.0098938,           0.0098938,           0.0099735
                   3,            0.070991,            0.018481,           0.0072447,             0.56822,             0.46747,             0.46975,             0.13085,            0.064783,            0.012388,           0.0054974,           0.0097798,           0.0097798,           0.0097798
                   4,            0.068442,            0.017533,           0.0067372,             0.68691,              0.4738,             0.50799,             0.14852,            0.063476,            0.012747,           0.0060477,           0.0097798,           0.0097798,           0.0097798
                   5,            0.067084,            0.017539,           0.0062173,             0.65049,             0.48057,             0.50599,              0.1467,            0.063213,            0.012551,           0.0052193,            0.009611,            0.009611,            0.009611
                   6,             0.06563,            0.017384,           0.0057902,             0.68756,             0.52952,             0.56572,             0.16505,            0.060834,            0.012408,           0.0046717,           0.0093971,           0.0093971,           0.0093971
                   7,            0.064803,            0.017024,           0.0056535,             0.72946,             0.54002,              0.5863,             0.17588,            0.059864,            0.011898,           0.0043825,           0.0091406,           0.0091406,           0.0091406
                   8,             0.06344,             0.01659,           0.0053238,             0.61301,             0.55983,             0.57024,             0.17646,            0.059848,             0.01191,           0.0044956,           0.0088442,           0.0088442,           0.0088442
                   9,            0.063497,            0.016541,           0.0052792,             0.70658,             0.55812,             0.59904,             0.18685,            0.059722,            0.011812,            0.004501,           0.0085111,           0.0085111,           0.0085111
                  10,            0.062237,            0.016292,           0.0050473,             0.68141,              0.6029,             0.63288,             0.19828,             0.05897,            0.011924,           0.0043926,            0.008145,            0.008145,            0.008145
                  11,            0.061879,             0.01655,           0.0049333,             0.71407,             0.56731,             0.61996,             0.20137,             0.05864,            0.011761,           0.0044821,             0.00775,             0.00775,             0.00775
                  12,            0.061514,            0.016519,           0.0050237,             0.68702,             0.62385,             0.63463,             0.20225,            0.058519,            0.011652,           0.0043121,           0.0073303,           0.0073303,           0.0073303
                  13,            0.061054,            0.016262,           0.0047617,             0.64859,             0.56893,             0.57883,             0.18086,            0.059603,             0.01189,            0.004758,           0.0068906,           0.0068906,           0.0068906
                  14,            0.060681,            0.016197,           0.0046876,             0.76417,             0.58814,             0.64866,             0.20688,            0.058522,            0.011639,           0.0043841,           0.0064356,           0.0064356,           0.0064356
                  15,            0.059938,            0.016222,           0.0044267,             0.69181,             0.62061,             0.63945,             0.20698,            0.057793,            0.011518,           0.0044502,           0.0059704,           0.0059704,           0.0059704
                  16,            0.059871,            0.015984,           0.0044996,             0.68997,             0.61869,             0.63233,             0.20354,            0.057556,            0.011591,           0.0043489,              0.0055,              0.0055,              0.0055
                  17,            0.059138,            0.016016,           0.0044222,             0.69438,              0.6347,             0.64717,             0.21339,            0.057021,            0.011536,           0.0041587,           0.0050296,           0.0050296,           0.0050296
                  18,            0.058994,            0.015928,           0.0041108,             0.67045,             0.63741,              0.6456,              0.2112,            0.056672,            0.011533,           0.0043909,           0.0045644,           0.0045644,           0.0045644
                  19,            0.058484,            0.015712,           0.0043093,              0.7132,             0.63564,             0.66115,             0.22005,            0.056565,            0.011445,           0.0039967,           0.0041094,           0.0041094,           0.0041094
                  20,            0.058233,            0.015755,           0.0040637,             0.73283,              0.6432,             0.67382,             0.21999,            0.056718,            0.011374,           0.0042363,           0.0036697,           0.0036697,           0.0036697
                  21,             0.05743,             0.01572,           0.0037812,             0.76875,             0.61493,             0.67569,             0.22474,            0.056542,            0.011413,           0.0043336,             0.00325,             0.00325,             0.00325
                  22,            0.057379,             0.01545,            0.004037,             0.72566,             0.63945,             0.66889,             0.22387,            0.056386,            0.011404,           0.0040557,            0.002855,            0.002855,            0.002855
                  23,            0.056923,            0.015563,           0.0038436,             0.71238,             0.64381,             0.67254,             0.22514,             0.05636,             0.01142,           0.0041624,           0.0024889,           0.0024889,           0.0024889
                  24,             0.05657,            0.015351,           0.0038312,             0.67698,              0.6692,             0.66256,             0.22258,            0.056578,            0.011376,           0.0042331,           0.0021558,           0.0021558,           0.0021558
                  25,            0.056255,            0.015355,             0.00392,             0.71915,             0.64439,             0.66703,             0.22973,            0.055979,             0.01131,           0.0043913,           0.0018594,           0.0018594,           0.0018594
                  26,             0.05609,            0.015067,            0.003778,             0.74667,             0.63346,             0.67763,             0.23111,            0.056316,            0.011377,           0.0044703,           0.0016029,           0.0016029,           0.0016029
                  27,            0.056154,            0.015032,           0.0037469,             0.70292,             0.65837,             0.66702,             0.22689,            0.056381,            0.011416,           0.0045223,            0.001389,            0.001389,            0.001389
                  28,            0.055563,            0.014884,           0.0036528,             0.75378,             0.64155,             0.67444,             0.22839,            0.056187,            0.011377,           0.0043036,           0.0012202,           0.0012202,           0.0012202
                  29,            0.055364,            0.015375,           0.0036584,             0.74593,             0.63835,              0.6758,               0.227,             0.05619,            0.011402,            0.004445,           0.0010983,           0.0010983,           0.0010983
